-182.454, 78.731, 1.450,  1.765
-182.419, 78.696, 1.454,  1.798
-182.384, 78.662, 1.459,  1.831
-182.349, 78.627, 1.463,  1.864
-182.314, 78.592, 1.467,  1.897
-182.279, 78.557, 1.472,  1.930
-182.244, 78.521, 1.476,  1.963
-182.210, 78.486, 1.480,  1.996
-182.175, 78.450, 1.484,  2.029
-182.141, 78.414, 1.488,  2.062
-182.107, 78.377, 1.492,  2.095
-182.073, 78.341, 1.496,  2.128
-182.039, 78.304, 1.500,  2.161
-182.006, 78.267, 1.504,  2.194
-181.973, 78.229, 1.508,  2.227
-181.940, 78.191, 1.511,  2.260
-181.908, 78.152, 1.515,  2.293
-181.875, 78.114, 1.518,  2.326
-181.844, 78.074, 1.521,  2.359
-181.813, 78.034, 1.524,  2.392
-181.782, 77.994, 1.527,  2.425
-181.752, 77.953, 1.528,  2.458
-181.722, 77.912, 1.521,  2.491
-181.694, 77.870, 1.515,  2.524
-181.665, 77.828, 1.512,  2.557
-181.638, 77.786, 1.510,  2.590
-181.611, 77.743, 1.511,  2.623
-181.585, 77.700, 1.513,  2.656
-181.559, 77.656, 1.515,  2.689
-181.535, 77.612, 1.519,  2.722
-181.511, 77.567, 1.524,  2.755
-181.487, 77.521, 1.528,  2.788
-181.464, 77.474, 1.533,  2.821
-181.442, 77.427, 1.539,  2.854
-181.421, 77.380, 1.544,  2.887
-181.400, 77.331, 1.550,  2.920
-181.381, 77.282, 1.556,  2.953
-181.362, 77.233, 1.562,  2.986
-181.344, 77.182, 1.568,  3.019
-181.326, 77.132, 1.574,  3.052
-181.309, 77.080, 1.580,  3.085
-181.294, 77.028, 1.587,  3.118
-181.278, 76.976, 1.593,  3.151
-181.264, 76.923, 1.600,  3.184
-181.250, 76.869, 1.607,  3.217
-181.237, 76.815, 1.614,  3.250
-181.225, 76.761, 1.621,  3.283
-181.214, 76.706, 1.629,  3.316
-181.203, 76.650, 1.636,  3.349
-181.193, 76.595, 1.644,  3.382
-181.183, 76.538, 1.652,  3.415
-181.174, 76.482, 1.660,  3.448
-181.166, 76.425, 1.668,  3.481
-181.159, 76.368, 1.675,  3.514
-181.152, 76.310, 1.683,  3.547
-181.145, 76.252, 1.691,  3.580
-181.139, 76.194, 1.699,  3.613
-181.134, 76.135, 1.707,  3.646
-181.129, 76.076, 1.714,  3.679
-181.125, 76.017, 1.722,  3.712
-181.121, 75.958, 1.730,  3.745
-181.118, 75.898, 1.737,  3.778
-181.115, 75.839, 1.744,  3.811
-181.113, 75.779, 1.751,  3.844
-181.111, 75.718, 1.759,  3.877
-181.109, 75.658, 1.766,  3.910
-181.108, 75.597, 1.773,  3.943
-181.108, 75.537, 1.780,  3.976
-181.107, 75.476, 1.787,  4.009
-181.107, 75.414, 1.794,  4.042
